,,,,【時間帯(60)】,【時間帯(60)】,【時間帯(60)】,8:00,8:00,8:00,9:00,9:00,9:00,10:00,10:00,10:00,11:00,11:00,11:00,12:00,12:00,12:00,13:00,13:00,13:00,14:00,14:00,14:00,15:00,15:00,15:00,16:00,16:00,16:00,17:00,17:00,17:00,18:00,18:00,18:00,19:00,19:00,19:00,20:00,20:00,20:00,21:00,21:00,21:00,22:00,22:00,22:00,23:00,23:00,23:00,24:00:00,24:00:00,24:00:00
,,,,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3
【期間】,,【カテゴリ/商品】,,416135 ,90662603 ,178752 ,4 ,737 ,2 ,9787 ,1964564 ,5 ,19681 ,4084492 ,5 ,30167 ,6665172 ,13 ,29348 ,6863289 ,42 ,21965 ,4999777 ,1411 ,22901 ,5299737 ,1457 ,25472 ,5856499 ,1271 ,32507 ,7732182 ,2085 ,38773 ,9174097 ,9859 ,43115 ,10283022 ,26480 ,29452 ,7299127 ,24129 ,29446 ,6097437 ,28610 ,38014 ,7147554 ,37902 ,35266 ,5738683 ,35249 ,9821 ,1397043 ,9817 ,416 ,59191 ,415 
2016年10月30日(日),,92851023,三元豚手作りロースのソースかつ重,4,1992 ,0,,,,,,,,,,,,,3,1494 ,0,1,498 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016年10月31日(月),,92851023,三元豚手作りロースのソースかつ重,4,1492 ,3,,,,,,,,,,,,,1,498 ,0,,,,,,,,,,,,,1 ,398 ,1 ,1 ,298 ,1 ,1 ,298 ,1 ,,,,,,,,,,,,,,,
2016年11月01日(火),,92851023,三元豚手作りロースのソースかつ重,4,1342 ,4,,,,,,,,,,,,,,,,1,448 ,1 ,,,,,,,,,,,,,3 ,894 ,3 ,,,,,,,,,,,,,,,,,,
2016年11月02日(水),,92851023,三元豚手作りロースのソースかつ重,4,1592 ,2,,,,,,,2,996 ,0,,,,,,,,,,,,,,,,,,,1 ,298 ,1 ,1 ,298 ,1 ,,,,,,,,,,,,,,,,,,
2016年11月03日(木),,92851023,三元豚手作りロースのソースかつ重,10,3684 ,5,,,,,,,2,996 ,0,,,,2,996 ,0,,,,,,,,,,,,,1 ,498 ,0 ,,,,,,,,,,1 ,398 ,1 ,4 ,796 ,4 ,,,,,,
2016年11月04日(金),,92851023,三元豚手作りロースのソースかつ重,10,3386 ,8,,,,,,,,,,1,498 ,0,1,498 ,0,,,,,,,2 ,896 ,2 ,,,,,,,,,,,,,,,,2 ,498 ,2 ,4 ,996 ,4 ,,,,,,
2016年11月05日(土),,92851023,三元豚手作りロースのソースかつ重,9,4332 ,2,,,,,,,,,,1,498 ,0,2,996 ,0,,,,1 ,448 ,1 ,,,,,,,,,,1 ,498 ,0 ,3 ,1494 ,0 ,,,,1 ,398 ,1 ,,,,,,,,,
2016年11月06日(日),,92851023,三元豚手作りロースのソースかつ重,4,1992 ,0,,,,1,498 ,0,,,,,,,1,498 ,0,2,996 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016年11月07日(月),,92851023,三元豚手作りロースのソースかつ重,10,3832 ,8,,,,,,,,,,1,498 ,0,1,498 ,0,,,,,,,,,,1 ,398 ,1 ,2 ,846 ,2 ,,,,1 ,398 ,1 ,1 ,348 ,1 ,3 ,846 ,3 ,,,,,,,,,
2016年11月08日(火),,92851023,三元豚手作りロースのソースかつ重,7,3086 ,5,,,,,,,,,,,,,,,,,,,2 ,896 ,2 ,,,,1 ,398 ,1 ,2 ,896 ,1 ,,,,1 ,498 ,0 ,,,,1 ,398 ,1 ,,,,,,,,,
2016年11月09日(水),,92851023,三元豚手作りロースのソースかつ重,7,2438 ,6,,,,,,,,,,,,,,,,,,,,,,1 ,448 ,1 ,,,,1 ,398 ,1 ,3 ,1094 ,2 ,,,,,,,2 ,498 ,2 ,,,,,,,,,
2016年11月10日(木),,92851023,三元豚手作りロースのソースかつ重,4,1542 ,3,,,,,,,,,,1,498 ,0,,,,,,,,,,,,,1 ,448 ,1 ,2 ,596 ,2 ,,,,,,,,,,,,,,,,,,,,,
2016年11月11日(金),,92851023,三元豚手作りロースのソースかつ重,4,1392 ,3,,,,1,498 ,0,,,,,,,,,,,,,,,,,,,,,,,,,3 ,894 ,3 ,,,,,,,,,,,,,,,,,,
2016年11月12日(土),,92851023,三元豚手作りロースのソースかつ重,12,3880 ,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 ,2536 ,7 ,,,,,,,2 ,597 ,2 ,3 ,747 ,3 ,,,,,,
2016年11月13日(日),,92851023,三元豚手作りロースのソースかつ重,4,1992 ,0,,,,2,996 ,0,1,498 ,0,1,498 ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016年11月14日(月),,92851023,三元豚手作りロースのソースかつ重,10,3134 ,10,,,,,,,,,,,,,,,,1,448 ,1 ,,,,,,,,,,,,,3 ,894 ,3 ,,,,1 ,398 ,1 ,4 ,1145 ,4 ,1 ,249 ,1 ,,,,,,
2016年11月15日(火),,92851023,三元豚手作りロースのソースかつ重,10,3334 ,8,,,,,,,,,,1,498 ,0,,,,,,,,,,,,,1 ,398 ,1 ,,,,2 ,596 ,2 ,1 ,498 ,0 ,,,,3 ,896 ,3 ,2 ,448 ,2 ,,,,,,
2016年11月16日(水),,92851023,三元豚手作りロースのソースかつ重,10,4082 ,6,,,,,,,,,,1,498 ,0,,,,1,448 ,1 ,,,,,,,,,,3 ,1244 ,2 ,1 ,498 ,0 ,1 ,498 ,0 ,1 ,398 ,1 ,2 ,498 ,2 ,,,,,,,,,
2016年11月17日(木),,92851023,三元豚手作りロースのソースかつ重,4,1592 ,3,,,,,,,,,,1,498 ,0,,,,,,,,,,,,,,,,2 ,796 ,2 ,1 ,298 ,1 ,,,,,,,,,,,,,,,,,,
2016年11月18日(金),,92851023,三元豚手作りロースのソースかつ重,10,3335 ,9,,,,,,,,,,,,,,,,,,,1 ,448 ,1 ,,,,,,,1 ,398 ,1 ,1 ,498 ,0 ,1 ,348 ,1 ,,,,1 ,398 ,1 ,5 ,1245 ,5 ,,,,,,
2016年11月19日(土),,92851023,三元豚手作りロースのソースかつ重,10,4480 ,6,,,,,,,,,,1,498 ,0,1,498 ,0,,,,1 ,448 ,1 ,1 ,448 ,1 ,2 ,996 ,0 ,,,,1 ,448 ,1 ,2 ,796 ,2 ,1 ,348 ,1 ,,,,,,,,,,,,
2016年11月20日(日),,92851023,三元豚手作りロースのソースかつ重,4,1692 ,3,,,,,,,,,,,,,1,498 ,0,1,448 ,1 ,1 ,448 ,1 ,,,,,,,,,,1 ,298 ,1 ,,,,,,,,,,,,,,,,,,
2016年11月21日(月),,92851023,三元豚手作りロースのソースかつ重,4,1442 ,4,,,,,,,,,,,,,,,,1,448 ,1 ,,,,,,,,,,2 ,696 ,2 ,1 ,298 ,1 ,,,,,,,,,,,,,,,,,,
2016年11月22日(火),,92851023,三元豚手作りロースのソースかつ重,10,3383 ,9,,,,,,,,,,,,,,,,,,,1 ,448 ,1 ,,,,,,,1 ,298 ,1 ,3 ,1094 ,2 ,,,,1 ,398 ,1 ,4 ,1145 ,4 ,,,,,,,,,
2016年11月23日(水),,92851023,三元豚手作りロースのソースかつ重,4,1942 ,1,,,,,,,1,498 ,0,,,,2,996 ,0,,,,,,,1 ,448 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016年11月24日(木),,92851023,三元豚手作りロースのソースかつ重,4,1492 ,3,,,,,,,,,,,,,,,,1,498 ,0 ,,,,,,,1 ,398 ,1 ,,,,2 ,596 ,2 ,,,,,,,,,,,,,,,,,,
2016年11月25日(金),,92851023,三元豚手作りロースのソースかつ重,3,1044 ,3,,,,,,,,,,,,,,,,,,,,,,,,,1 ,448 ,1 ,,,,1 ,298 ,1 ,1 ,298 ,1 ,,,,,,,,,,,,,,,
2016年11月26日(土),,92851023,三元豚手作りロースのソースかつ重,3,994 ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 ,696 ,2 ,1 ,298 ,1 ,,,,,,,,,,,,,,,,,,
2016年11月27日(日),,92851023,三元豚手作りロースのソースかつ重,4,1642 ,3,,,,,,,,,,,,,1,498 ,0,,,,,,,,,,,,,2 ,796 ,2 ,1 ,348 ,1 ,,,,,,,,,,,,,,,,,,
2016年11月28日(月),,92851023,三元豚手作りロースのソースかつ重,4,1742 ,2,,,,,,,,,,1,498 ,0,1,498 ,0,1,448 ,1 ,,,,,,,,,,,,,1 ,298 ,1 ,,,,,,,,,,,,,,,,,,
2016年11月29日(火),,92851023,三元豚手作りロースのソースかつ重,9,3136 ,8,,,,,,,,,,,,,,,,,,,,,,1 ,448 ,1 ,2 ,896 ,2 ,1 ,298 ,1 ,1 ,498 ,0 ,,,,,,,3 ,747 ,3 ,1 ,249 ,1 ,,,,,,
2016年11月30日(水),,92851023,三元豚手作りロースのソースかつ重,6,2588 ,3,,,,,,,1,498 ,0,,,,,,,2,996 ,0 ,,,,,,,,,,,,,1 ,298 ,1 ,1 ,398 ,1 ,1 ,398 ,1 ,,,,,,,,,,,,
2016年12月01日(木),,92851023,三元豚手作りロースのソースかつ重,8,3684 ,4,,,,,,,1,498 ,0,1,498 ,0,1,498 ,0,,,,,,,,,,1 ,448 ,1 ,1 ,498 ,0 ,2 ,896 ,2 ,,,,1 ,348 ,1 ,,,,,,,,,,,,
2016年12月02日(金),,92851023,三元豚手作りロースのソースかつ重,4,1392 ,3,,,,,,,,,,,,,1,498 ,0,,,,,,,,,,,,,,,,3 ,894 ,3 ,,,,,,,,,,,,,,,,,,
2016年12月03日(土),,92851023,三元豚手作りロースのソースかつ重,10,4431 ,4,,,,,,,1,498 ,0,,,,,,,,,,1 ,448 ,1 ,1 ,448 ,1 ,1 ,498 ,0 ,3 ,1494 ,0 ,2 ,796 ,1 ,,,,,,,1 ,249 ,1 ,,,,,,,,,
2016年12月04日(日),,92851023,三元豚手作りロースのソースかつ重,10,3833 ,6,,,,,,,1,498 ,0,1,498 ,0,1,498 ,0,,,,,,,,,,,,,1 ,298 ,1 ,1 ,498 ,0 ,,,,2 ,796 ,2 ,2 ,498 ,2 ,1 ,249 ,1 ,,,,,,
2016年12月05日(月),,92851023,三元豚手作りロースのソースかつ重,4,1542 ,3,,,,,,,1,498 ,0,,,,,,,,,,,,,,,,1 ,448 ,1 ,,,,2 ,596 ,2 ,,,,,,,,,,,,,,,,,,
2016年12月06日(火),,92851023,三元豚手作りロースのソースかつ重,4,1292 ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 ,398 ,1 ,1 ,298 ,1 ,2 ,596 ,2 ,,,,,,,,,,,,,,,
2016年12月07日(水),,92851023,三元豚手作りロースのソースかつ重,4,1692 ,2,,,,,,,,,,,,,1,498 ,0,1,498 ,0 ,,,,,,,,,,1 ,398 ,1 ,1 ,298 ,1 ,,,,,,,,,,,,,,,,,,
2016年12月08日(木),,92851023,三元豚手作りロースのソースかつ重,4,1492 ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 ,1194 ,3 ,,,,1 ,298 ,1 ,,,,,,,,,,,,,,,
2016年12月09日(金),,92851023,三元豚手作りロースのソースかつ重,10,4033 ,6,,,,,,,,,,,,,3,1494 ,0,,,,,,,,,,,,,2 ,896 ,1 ,1 ,448 ,1 ,1 ,448 ,1 ,,,,,,,3 ,747 ,3 ,,,,,,
2016年12月10日(土),,92851023,三元豚手作りロースのソースかつ重,10,4083 ,5,,,,,,,,,,3,1494 ,0,,,,,,,,,,,,,1 ,448 ,1 ,2 ,996 ,0 ,,,,,,,,,,4 ,1145 ,4 ,,,,,,,,,
2016年12月11日(日),,92851023,三元豚手作りロースのソースかつ重,12,3633 ,11,,,,,,,,,,,,,1,498 ,0,,,,,,,1 ,448 ,1 ,,,,1 ,398 ,1 ,1 ,298 ,1 ,1 ,398 ,1 ,,,,2 ,498 ,2 ,3 ,697 ,3 ,2 ,398 ,2 ,,,
2016年12月12日(月),,92851023,三元豚手作りロースのソースかつ重,10,3434 ,8,,,,,,,2,996 ,0,,,,,,,,,,,,,,,,,,,1 ,398 ,1 ,1 ,298 ,1 ,,,,2 ,796 ,2 ,3 ,747 ,3 ,1 ,199 ,1 ,,,,,,
2016年12月13日(火),,92851023,三元豚手作りロースのソースかつ重,4,1392 ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 ,796 ,2 ,1 ,298 ,1 ,1 ,298 ,1 ,,,,,,,,,,,,,,,
2016年12月14日(水),,92851023,三元豚手作りロースのソースかつ重,4,1592 ,4,,,,,,,,,,,,,,,,1,448 ,1 ,1 ,448 ,1 ,,,,,,,2 ,696 ,2 ,,,,,,,,,,,,,,,,,,,,,
2016年12月15日(木),,92851023,三元豚手作りロースのソースかつ重,4,1792 ,3,,,,,,,,,,,,,1,498 ,0,,,,,,,2 ,896 ,2 ,,,,1 ,398 ,1 ,,,,,,,,,,,,,,,,,,,,,
2016年12月16日(金),,92851023,三元豚手作りロースのソースかつ重,10,3584 ,7,,,,,,,,,,1,498 ,0,1,498 ,0,,,,,,,,,,1 ,398 ,1 ,1 ,298 ,1 ,,,,1 ,498 ,0 ,1 ,398 ,1 ,1 ,249 ,1 ,3 ,747 ,3 ,,,,,,
2016年12月17日(土),,92851023,三元豚手作りロースのソースかつ重,4,1842 ,1,,,,,,,,,,1,498 ,0,2,996 ,0,,,,,,,,,,,,,,,,1 ,348 ,1 ,,,,,,,,,,,,,,,,,,
2016年12月18日(日),,92851023,三元豚手作りロースのソースかつ重,4,1492 ,4,,,,,,,,,,,,,,,,,,,,,,,,,1 ,448 ,1 ,,,,2 ,696 ,2 ,,,,1 ,348 ,1 ,,,,,,,,,,,,
2016年12月19日(月),,92851023,三元豚手作りロースのソースかつ重,10,3036 ,9,,,,,,,,,,1,498 ,0,,,,,,,,,,1 ,448 ,1 ,1 ,448 ,1 ,,,,1 ,298 ,1 ,,,,,,,2 ,498 ,2 ,1 ,249 ,1 ,3 ,597 ,3 ,,,
2016年12月20日(火),,92851023,三元豚手作りロースのソースかつ重,12,3333 ,12,,,,,,,,,,,,,,,,,,,,,,,,,1 ,448 ,1 ,,,,3 ,894 ,3 ,,,,1 ,398 ,1 ,2 ,498 ,2 ,4 ,896 ,4 ,1 ,199 ,1 ,,,
2016年12月21日(水),,92851023,三元豚手作りロースのソースかつ重,4,1842 ,3,,,,,,,,,,,,,1,498 ,0,,,,2 ,896 ,2 ,1 ,448 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016年12月22日(木),,92851023,三元豚手作りロースのソースかつ重,10,3535 ,6,,,,,,,2,996 ,0,,,,1,498 ,0,,,,,,,,,,,,,2 ,796 ,1 ,,,,,,,,,,4 ,996 ,4 ,1 ,249 ,1 ,,,,,,
2016年12月23日(金),,92851023,三元豚手作りロースのソースかつ重,3,1494 ,0,,,,,,,,,,1,498 ,0,1,498 ,0,1,498 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016年12月24日(土),,92851023,三元豚手作りロースのソースかつ重,4,1493 ,3,,,,,,,1,498 ,0,,,,,,,,,,,,,,,,,,,1 ,398 ,1 ,1 ,348 ,1 ,,,,,,,1 ,249 ,1 ,,,,,,,,,
2016年12月25日(日),,92851023,三元豚手作りロースのソースかつ重,4,1992 ,0,,,,,,,,,,1,498 ,0,2,996 ,0,1,498 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016年12月26日(月),,92851023,三元豚手作りロースのソースかつ重,4,1942 ,1,,,,,,,,,,3,1494 ,0,,,,,,,1 ,448 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016年12月27日(火),,92851023,三元豚手作りロースのソースかつ重,4,1392 ,3,,,,,,,,,,1,498 ,0,,,,,,,,,,,,,,,,3 ,894 ,3 ,,,,,,,,,,,,,,,,,,,,,
2016年12月28日(水),,92851023,三元豚手作りロースのソースかつ重,4,1192 ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 ,596 ,2 ,2 ,596 ,2 ,,,,,,,,,,,,,,,,,,
2016年12月29日(木),,92851023,三元豚手作りロースのソースかつ重,12,5527 ,4,,,,,,,1,498 ,0,,,,,,,1,498 ,0 ,,,,2 ,896 ,2 ,1 ,498 ,0 ,1 ,498 ,0 ,3 ,1494 ,0 ,1 ,498 ,0 ,1 ,398 ,1 ,1 ,249 ,1 ,,,,,,,,,
2016年12月30日(金),,92851023,三元豚手作りロースのソースかつ重,12,4679 ,8,,,,,,,,,,3,1494 ,0,,,,1,498 ,0 ,,,,,,,,,,,,,2 ,896 ,2 ,,,,3 ,1044 ,3 ,3 ,747 ,3 ,,,,,,,,,
2016年12月31日(土),,92851023,三元豚手作りロースのソースかつ重,4,1692 ,3,,,,,,,,,,1,498 ,0,,,,,,,,,,,,,1,398,1,2,796,2,,,,,,,,,,,,,,,,,,,,,
