youbi,SKUcode,item,urisuu,urikin,nesage,nine_urisuu,nine_urikin,nine_nesage,ten_urisuu,ten_urikin,ten_nesage,eleven_urisuu,eleven_urikin,eleven_nesage,noon_urisuu,noon_urikin,noon_nesage,one_urisuu,one_urikin,one_nesage,two_urisuu,two_urikin,two_nesage,three_urisuu,three_urikin,three_nesage,four_urisuu,four_urikin,four_nesage,five_urisuu,five_urikin,five_nesage,six_urisuu,six_urikin,six_nesage,seven_urisuu,seven_urikin,seven_nesage,eight_urisuu,eight_urikin,eight_nesage,pm_nine_urisuu,pm_nine_urikin,pm_nine_nesage,pm_ten_urisuu,pm_ten_urikin,pm_ten_nesage,pm_eleve_urisuu,pm_eleven_urikin,pm_eleven_nesage
2017年06月29日(木),92631267,あぶり焼きチキン,26,8493,17,,,,2,796,0,,,,2,796,0,1,398,0,1,398,0,1,398,0,2,796,0,1,358,1,7,2402,7,3,918,3,,,,5,1034,5,1,199,1,,,
2017年06月30日(金),92631267,あぶり焼きチキン,10,1979,8,,,,,,,,,,,,,,,,1,298,0,1,188,0,,,,2,437,2,1,169,1,1,169,1,3,624,3,1,94,1,,,,,,
2017年07月01日(土),92631267,あぶり焼きチキン,54,16587,10,2,596,0,1,188,0,5,1522,0,,,,5,1234,0,3,748,0,3,1018,0,10,3518,0,7,2408,0,5,1448,2,8,2355,3,3,1104,3,2,448,2,,,,,,
2017年07月02日(日),92631267,あぶり焼きチキン,48,13066,17,,,,,,,3,784,0,2,486,0,5,1834,0,4,1082,0,5,1834,0,4,1254,0,7,2278,3,3,959,3,2,486,0,3,804,1,1,119,1,9,1146,9,,,
2017年07月03日(月),92631267,あぶり焼きチキン,27,6857,13,,,,1,298,0,2,768,0,,,,3,1066,0,,,,2,486,0,1,298,0,4,953,1,2,467,1,1,188,0,4,1002,4,5,1143,5,2,188,2,,,
2017年07月04日(火),92631267,あぶり焼きチキン,10,1793,9,,,,,,,,,,,,,,,,,,,1,188,0,,,,,,,3,606,3,2,476,2,1,131,1,2,298,2,1,94,1,,,
2017年07月05日(水),92631267,あぶり焼きチキン,30,7904,16,,,,1,188,0,,,,1,298,0,,,,,,,,,,6,1458,0,2,768,0,7,1970,3,4,1109,4,3,1078,3,6,1035,6,,,,,,
2017年07月06日(木),92631267,あぶり焼きチキン,17,5554,12,1,398,0,,,,1,398,0,,,,,,,,,,,,,3,1194,0,3,1074,3,4,1432,4,2,461,2,,,,2,398,2,1,199,1,,,
2017年07月07日(金),92631267,あぶり焼きチキン,20,4494,9,,,,,,,1,188,0,,,,2,596,0,,,,1,188,0,3,674,0,3,894,0,2,437,2,3,735,2,3,538,3,1,150,1,1,94,1,,,
2017年07月08日(土),92631267,あぶり焼きチキン,20,3729,14,,,,1,188,0,1,298,0,,,,1,298,0,1,298,0,,,,1,188,0,1,298,0,3,606,3,3,488,3,,,,5,694,5,3,373,3,,,
2017年07月09日(日),92631267,あぶり焼きチキン,52,13722,32,,,,,,,5,1724,0,1,298,0,3,1066,0,2,486,0,1,580,0,6,1740,0,1,580,0,7,1990,6,7,2225,7,2,446,2,7,1537,7,10,1050,10,,,
2017年07月10日(月),92631267,あぶり焼きチキン,20,4152,12,,,,,,,2,376,0,1,298,0,,,,,,,1,298,0,2,596,0,2,376,0,6,1311,6,,,,2,300,2,4,597,4,,,,,,
2017年07月11日(火),92631267,あぶり焼きチキン,31,7785,16,1,298,0,2,768,0,2,486,0,2,486,0,,,,,,,2,486,0,2,486,0,2,486,0,8,1698,6,1,268,1,5,1163,5,,,,4,1160,4,,,
2017年07月12日(水),92631267,あぶり焼きチキン,43,10471,23,,,,2,376,0,3,674,0,1,188,0,1,188,0,1,298,0,3,784,0,2,596,0,5,1503,2,7,1901,4,4,1552,3,3,431,3,1,208,1,5,1027,5,5,745,5
2017年07月13日(木),92631267,あぶり焼きチキン,25,9197,9,1,398,0,1,398,0,2,796,0,1,398,0,2,796,0,1,398,0,1,398,0,1,398,0,3,1154,1,4,1512,2,5,1716,3,2,636,2,1,199,1,,,,,,
2017年07月14日(金),92631267,あぶり焼きチキン,35,11199,13,2,848,0,2,486,0,,,,3,1146,0,2,596,0,,,,1,298,0,3,1318,0,7,1866,0,10,3688,8,3,507,3,2,446,2,,,,,,,,,
2017年07月15日(土),92631267,あぶり焼きチキン,18,3588,11,,,,,,,1,188,0,2,486,0,,,,,,,,,,1,298,0,3,784,0,4,874,4,1,169,1,3,393,3,2,302,2,1,94,1,,,
2017年07月16日(日),92631267,あぶり焼きチキン,65,16806,25,3,738,0,3,738,0,8,2780,0,1,280,0,8,2846,0,6,1578,0,3,534,0,5,1518,0,3,636,0,3,480,3,3,1242,3,2,348,2,6,873,6,11,2215,11,,,
2017年07月17日(月),92631267,あぶり焼きチキン,36,9796,21,1,298,0,1,298,0,1,188,0,2,878,0,1,298,0,1,298,0,2,768,0,6,2304,0,1,268,1,3,1058,3,5,1082,5,1,406,1,7,1111,7,4,541,4,,,
2017年07月18日(火),92631267,あぶり焼きチキン,30,9096,14,,,,1,580,0,2,486,0,2,486,0,1,188,0,2,1160,0,2,596,0,3,1066,0,5,1503,2,9,2524,9,3,507,3,,,,,,,,,,,,
2017年07月19日(水),92631267,あぶり焼きチキン,58,15660,29,2,768,0,2,596,0,4,972,0,2,486,0,4,1364,0,1,580,0,2,486,0,5,1160,0,4,1756,0,5,1570,4,6,1509,4,10,2588,10,9,1637,9,2,188,2,,,
