youbi,SKUcode,item,urisuu,urikin,nesage,nine_urisuu,nine_urikin,nine_nesage,ten_urisuu,ten_urikin,ten_nesage,eleven_urisuu,eleven_urikin,eleven_nesage,noon_urisuu,noon_urikin,noon_nesage,one_urisuu,one_urikin,one_nesage,two_urisuu,two_urikin,two_nesage,three_urisuu,three_urikin,three_nesage,four_urisuu,four_urikin,four_nesage,five_urisuu,five_urikin,five_nesage,six_urisuu,six_urikin,six_nesage,seven_urisuu,seven_urikin,seven_nesage,eight_urisuu,eight_urikin,eight_nesage,pm_nine_urisuu,pm_nine_urikin,pm_nine_nesage,pm_ten_urisuu,pm_ten_urikin,pm_ten_nesage,pm_eleve_urisuu,pm_eleven_urikin,pm_eleven_nesage,
2017年06月17日(土),92855021,うどん＆煮込みカツ丼セット,6 ,1908 ,3 ,,,,,,,3 ,1194 ,0 ,,,,,,,,,,,,,,,,,,,3 ,714 ,3 ,,,,,,,,,,,,,,,,
2017年06月18日(日),92855021,うどん＆煮込みカツ丼セット,7 ,1749 ,5 ,,,,2 ,796 ,0 ,,,,,,,,,,,,,,,,,,,2 ,476 ,2 ,,,,,,,,,,,,,1 ,159 ,1 ,2 ,318 ,2 ,
2017年06月19日(月),92855021,うどん＆煮込みカツ丼セット,6 ,1352 ,5 ,,,,,,,,,,1 ,398 ,0 ,,,,,,,,,,,,,,,,1 ,318 ,1 ,1 ,159 ,1 ,,,,3 ,477 ,3 ,,,,,,,
2017年06月20日(火),92855021,うどん＆煮込みカツ丼セット,6 ,1829 ,4 ,,,,1 ,398 ,0 ,,,,1 ,398 ,0 ,,,,,,,,,,1 ,358 ,1 ,1 ,238 ,1 ,,,,1 ,238 ,1 ,,,,1 ,199 ,1 ,,,,,,,
2017年06月21日(水),92855021,うどん＆煮込みカツ丼セット,6 ,1233 ,6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 ,238 ,1 ,1 ,199 ,1 ,4 ,796 ,4 ,,,,
2017年06月22日(木),92855021,うどん＆煮込みカツ丼セット,6 ,1670 ,5 ,,,,,,,,,,1 ,398 ,0 ,,,,,,,,,,,,,,,,1 ,318 ,1 ,,,,,,,4 ,954 ,4 ,,,,,,,
2017年06月23日(金),92855021,うどん＆煮込みカツ丼セット,6 ,1549 ,5 ,,,,,,,1 ,398 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,2 ,476 ,2 ,3 ,675 ,3 ,,,,,,,
2017年06月24日(土),92855021,うどん＆煮込みカツ丼セット,6 ,2028 ,3 ,,,,,,,,,,3 ,1194 ,0 ,,,,,,,1 ,358 ,1 ,,,,1 ,238 ,1 ,,,,1 ,238 ,1 ,,,,,,,,,,,,,
2017年06月25日(日),92855021,うどん＆煮込みカツ丼セット,6 ,2228 ,1 ,,,,,,,2 ,796 ,0 ,3 ,1194 ,0 ,,,,,,,,,,,,,1 ,238 ,1 ,,,,,,,,,,,,,,,,,,,
2017年06月26日(月),92855021,うどん＆煮込みカツ丼セット,8 ,2280 ,6 ,,,,1 ,380 ,0 ,,,,1 ,380 ,0 ,,,,,,,,,,2 ,608 ,2 ,1 ,304 ,1 ,,,,2 ,456 ,2 ,1 ,152 ,1 ,,,,,,,,,,
2017年06月27日(火),92855021,うどん＆煮込みカツ丼セット,6 ,2308 ,2 ,,,,1 ,398 ,0 ,1 ,398 ,0 ,1 ,398 ,0 ,,,,1 ,398 ,0 ,2 ,716 ,2 ,,,,,,,,,,,,,,,,,,,,,,,,,
2017年06月28日(水),92855021,うどん＆煮込みカツ丼セット,6 ,1988 ,4 ,,,,1 ,398 ,0 ,1 ,398 ,0 ,,,,,,,2 ,716 ,2 ,,,,,,,,,,2 ,476 ,2 ,,,,,,,,,,,,,,,,
2017年06月29日(木),92855021,うどん＆煮込みカツ丼セット,8 ,2660 ,3 ,1 ,380 ,0 ,,,,,,,4 ,1520 ,0 ,,,,,,,1 ,342 ,1 ,,,,1 ,228 ,1 ,,,,,,,,,,,,,1 ,190 ,1 ,,,,
2017年06月30日(金),92855021,うどん＆煮込みカツ丼セット,6 ,1709 ,4 ,,,,,,,1 ,398 ,0 ,1 ,398 ,0 ,,,,,,,,,,,,,,,,2 ,476 ,2 ,1 ,238 ,1 ,,,,1 ,199 ,1 ,,,,,,,
